iter	Passed	Remaining
0	1	121
1	2	111
2	3	108
3	4	101
4	5	101
5	6	101
6	7	101
7	8	99
8	9	98
9	10	97
10	12	97
11	13	96
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	21	87
20	22	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	53	53
50	54	52
51	56	51
52	57	50
53	58	49
54	58	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	28
74	80	26
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
